,Date of Designation,City,Country,"Date of
Incident",Description
121,"February 17, 2017",Berlin,Germany,"December 19, 2016",Berlin Christmas Market Attack
122,"February 17, 2017",Istanbul,Turkey,"January 1, 2017",Armed Attack at Istanbul Nightclub
123,"January 9, 2017",Bagram Airfield,Afghanistan,"November 12, 2016",Suicide Bomber
124,"December 7, 2016",Karachi,Pakistan,"October 29, 2016",Attack on Religious Gathering
125,"August 25, 2016",Tel Aviv,Israel,"June 8, 2016",Armed Attack
126,"August 25, 2016",Jerusalem, ,"March 11, 2016",Armed Attack
127,"August 25, 2016",Dhaka,Bangladesh,"July 1, 2016",Armed Attack
128,"August 25, 2016",Lashkar Gar,Afghanistan,"June 5, 2016",Armed Attack
129,"August 25, 2016", ,West Bank,"July 1, 2016",Armed Attack
130,"August 25, 2016", ,West Bank,"June 30, 2016",Armed Attack
131,"August 1, 2016", ,West Bank,"November 6, 2015",Shooting at the Cave of Patriarchs
132,"August 1, 2016",Istanbul,Turkey,"June 28, 2016",Armed Attack on Ataturk Airport
133,"August 1, 2016",Madrid,Spain,"September 9, 1985",Car Bombing
134,"July 21, 2016",Nice,France,"July 14, 2016",Bastille Day Attack
135,"May 13, 2016",Dhaka,Bangladesh,"April 25, 2016",Armed Attack
136,"April 13, 2016",Helmand Province,Afghanistan,"December 26, 2013",Armed Attack
137,"April 13, 2016",Kabul,Afghanistan,"January 4, 2016",Bombing near Embassy
138,"April 1, 2016",Kabul,Afghanistan,"December 21, 2015",Armed Attack
139,"April 1, 2016",Istanbul,Turkey,"March 19, 2016",Suicide Bombing in Shopping District
140,"March 31, 2016",Brussels,Belgium,"March 22, 2016",Armed Attack
141,"March 31, 2016",Tel Aviv,Israel,"March 8, 2016",Stabbing of Tourists
142,"March 31, 2016",Peshawar,Pakistan,"March 1, 2016",Bombing of Convoy
143,"March 31, 2016", ,West Bank,"February 18, 2016",Armed Attack
144,"March 31, 2016",Tel Aviv,Israel,"January 1, 2016",Armed Attack
145,"March 31, 2016",Jerusalem, ,"January 30, 2016",Stabbing Attack
146,"February 11, 2016",Kabul,Afghanistan,"April 16, 2011",Suicide Bombing
147,"February 4, 2016",Ouagadougou,Burkina Faso,"January 15, 2016",Armed Attack
148,"February 4, 2016",Amman,Jordan,"November 9, 2015",Armed Attack
149,"January 6, 2016", ,Iraq,"September 17, 2015",Suicide Bombing
150,"December 18, 2015",Bamako,Mali,"November 20, 2015",Armed Attack
151,"December 7, 2015",Jerusalem, ,"October 30, 2015",Armed Attack
152,"December 7, 2015", ,West Bank,"November 19, 2015",Armed Attack
153,"November 24, 2015", ,West Bank,"October 1, 2015",Armed Attack
154,"November 24, 2015",Jerusalem, ,"October 13, 2015",Armed Attack
155,"November 16, 2015",Paris,France,"November 13, 2015",Coordinated attacks at several locations
156,"October 27, 2015", ,Yemen,"March 27, 2015",Hostage/Release
157,"October 27, 2015", ,Egypt,"September 3, 2015",IED Attack
158,"October 9, 2015",Kabul,Afghanistan,"August 22, 2015",Car Bomb NATO Convoy
159,"October 9, 2015",Kabul,Afghanistan,"January 29, 2015",Attack at Kabul Airport
160,"October 2, 2015",Oignies,France,"August 21, 2015",Attack on French Train
161,"September 4, 2015",Zamboanga City,Philippines,"July 11, 2011",Hostage/Release
162,"September 4, 2015",Athens,Greece,"April 3, 1984",Shooting
163,"August 28, 2015",Ghazni,Afghanistan,"July 18, 2015",IED Attack
164,"August 4, 2015",Bagram,Afghanistan,"June 8, 2015",Rocket Attack
165,"August 3, 2015",Athens,Greece,"June 28, 1988",Car Bombing
166,"August 3, 2015",Sanaa,Yemen,"May 15, 2015",Hostage/Release
167,"July 9, 2015",Kabul,Afghanistan,"September 29, 2014",Bombing
168,"July 9, 2015",Lahore,Pakistan,"August 13, 2011",Hostage/Killed
169,"June 24, 2015",Athens,Greece,"April 24, 1987",Bus Bombing
170,"June 24, 2015",Athens,Greece,"August 10, 1987",Bus Bombing
171,"June 18, 2015",Garowe,Somalia,"April 20, 2015",Bombing
172,"June 18, 2015",Jerusalem, ,"February 24, 2010",Armed Attack
173,"June 18, 2015",Mogadishu,Somalia,"March 27, 2015",Armed Attack
174,"June 18, 2015",Kabul,Afghanistan,"May 13, 2015",Armed Attack
175,"June 18, 2015",Athens,Greece,"November 15, 1983",Armed Attack
176,"May 13, 2015",Karachi,Pakistan,"April 16, 2015",Armed Attack
177,"May 4, 2015",Karama,Egypt,"August 6, 2014",Armed Attack
178,"April 29, 2015",Mogadishu,Somalia,"December 25, 2014",Armed Attack
179,"March 30, 2015",Peshawar,Pakistan,"December 16, 2014 (on or about",Armed Attack
180,"March 30, 2015",Dhaka,Bangladesh,"February 26, 2015 (on or about)",Armed Attack
181,"March 10, 2015", ,Syria,"August 4, 2013",Hostage Killed
182,"February 19, 2015", ,Libya,"January 27, 2015 (on or about)",Armed Attack
183,"February 19, 2015",Jerusalem, ,"October 29, 2014",Shooting
184,"January 22, 2015",Mogadishu,Somalia,"November 17, 2014 (on or about)",Armed Attack
185,"January 5, 2015", ,United Arab Emirates,"December 1, 2014",Armed Attack
186,"January 5, 2015",Sanaa,Yemen,"September 17, 2013 through on or about December 6, 2014",Hostage/ Killed
187,"December 10, 2014", ,Syria,"November 17, 2014 (on or about)",Murder of Hostage
188,"December 10, 2014",Jerusalem, ,"November 18, 2014",Armed Attack
189,"December 10, 2014",Damascus,Syria,"February 3, 2013 - February 21, 2013",Kidnapping and Release
190,"November 12, 2014",Jerusalem, ,"October 22, 2014",Car Attack
191,"September 19, 2014", ,Syria,"August 2013 – on or about September 2, 2014",Murder of Hostage
192,"September 18, 2014", ,Syria,"October 18, 2012 – August 24, 2014",Hostage/Release
193,"September 5, 2014", ,Syria,"November 22, 2012 – on or about August 19, 2014",Kidnapping and Murder
194,"August 28, 2014",Mogadishu,Somalia,"July 23, 2014",Drive-by Shooting and Murder
195,"August 5, 2014", ,West Bank,"June 12, 2014",Kidnapping and murder
196,"May 23, 2014",Kabul,Afghanistan,"April 24, 2014",Gunman attack
197,"May 23, 2014",Kabul,Afghanistan,"March 20, 2014",Armed attack
198,"March 24, 2014",Kandahar,Afghanistan,"October 13, 2012",Suicide bombing
